id,latitude,longitude,room_type,first_year,last_year
5394359,52.48062,13.42632,Private room,2015.0,2017.0
5395504,52.49207,13.38686,Private room,2016.0,2019.0
5399990,52.53029,13.41809,Entire home/apt,2015.0,2021.0
5403956,52.54772,13.34844,Private room,2016.0,2016.0
5410909,52.49153,13.31882,Entire home/apt,2015.0,2025.0
5416389,52.50555,13.32098,Entire home/apt,2015.0,2024.0
5424456,52.53639,13.42811,Entire home/apt,2022.0,2022.0
5426613,52.50899,13.45636,Entire home/apt,2015.0,2025.0
5465981,52.51216,13.40071,Private room,2015.0,2016.0
5476658,52.53335,13.33597,Entire home/apt,2015.0,2024.0
5494100,52.52951,13.40824,Entire home/apt,2015.0,2025.0
5521732,52.50196,13.43834,Private room,2015.0,2025.0
5524180,52.52638,13.3391,Private room,2015.0,2018.0
5531533,52.530201588188035,13.39738283862304,Entire home/apt,2022.0,2025.0
5536095,52.46106,13.37888,Entire home/apt,2015.0,2025.0
5598839,52.50955,13.40139,Entire home/apt,2015.0,2025.0
5610403,52.47115,13.45246,Private room,2015.0,2023.0
5632897,52.52363,13.40821,Private room,2015.0,2025.0
5633542,52.49628,13.33534,Entire home/apt,2015.0,2023.0
5634417,52.52639,13.3644,Entire home/apt,2015.0,2016.0
5635407,52.50175,13.43124,Entire home/apt,2015.0,2024.0
5646105,52.4733,13.42371,Private room,2015.0,2016.0
5647910,52.52189,13.43501,Entire home/apt,2019.0,2019.0
5654498,52.55537,13.3879,Private room,2016.0,2016.0
5655048,52.48112,13.4372,Entire home/apt,2015.0,2025.0
5656926,52.48968,13.4331,Entire home/apt,2015.0,2015.0
5658501,52.52558,13.4094,Entire home/apt,2015.0,2023.0
5664000,52.47302,13.42755,Entire home/apt,2015.0,2015.0
5669402,52.48811,13.43881,Entire home/apt,2015.0,2022.0
5679744,52.42979,13.30433,Entire home/apt,2015.0,2015.0
5682233,52.54489,13.37824,Private room,2015.0,2015.0
5682500,52.49864,13.33466,Entire home/apt,2015.0,2025.0
5683994,52.61530699999999,13.3376801,Entire home/apt,2024.0,2025.0
5710845,52.50009,13.41487,Entire home/apt,2015.0,2017.0
5713850,52.49307,13.44625,Entire home/apt,2018.0,2025.0
5717063,52.53262,13.33486,Entire home/apt,2015.0,2023.0
5732900,52.50127,13.34912,Private room,2015.0,2015.0
5742547,52.53918,13.41899,Entire home/apt,2015.0,2015.0
5747908,52.52688,13.39154,Entire home/apt,2016.0,2017.0
5751563,52.52082,13.45216,Private room,2015.0,2020.0
5759044,52.48961,13.35823,Entire home/apt,2021.0,2022.0
5760642,52.48831,13.43852,Entire home/apt,2015.0,2016.0
5766122,52.49136,13.3784,Entire home/apt,2015.0,2025.0
5768047,52.48906,13.42529,Private room,2016.0,2025.0
5768223,52.48762,13.28528,Entire home/apt,2017.0,2025.0
5773229,52.47927,13.42314,Private room,2015.0,2017.0
5784956,52.49228,13.39335,Entire home/apt,2015.0,2025.0
5787566,52.49002,13.38572,Private room,2015.0,2016.0
5790572,52.46513,13.49034,Entire home/apt,2015.0,2016.0
5798346,52.48444,13.43677,Entire home/apt,2016.0,2017.0
5804964,52.4807,13.42227,Entire home/apt,2017.0,2021.0
5825471,52.53109,13.34106,Private room,2015.0,2025.0
5845894,52.44271,13.71461,Entire home/apt,2015.0,2025.0
5865532,52.49787,13.3283,Entire home/apt,2015.0,2022.0
5889382,52.46866,13.43797,Private room,2018.0,2025.0
5892814,52.48679,13.42994,Entire home/apt,2015.0,2024.0
5943134,52.50678,13.49976,Entire home/apt,2015.0,2018.0
5951351,52.49158,13.4293,Private room,2015.0,2020.0
