name,latitude,longitude,room_type,price
"4BR town house, quiet and extremely central",52.36207,4.88948,Entire home/apt,800.0
Great new appartment in hip part of Amsterdam!,52.35823,4.92035,Entire home/apt,349.0
Cosy stylish apartment in De Pijp,52.35043,4.90079,Entire home/apt,148.0
Family home 120 m2 A’dam - garden!,52.39259,4.91565,Entire home/apt,
Beautiful family home (150m2) & great terrace,52.35372,4.85028,Entire home/apt,
"Luxery family canal house, 4 BRM, 3BR (2 AC)",52.36718,4.87849,Entire home/apt,429.0
Charming Apartment -Own courtyard,52.38827,4.94617,Entire home/apt,178.0
Great central apartment museum area,52.36268,4.87346,Entire home/apt,
15 min to the center of Amsterdam,52.3639,4.93817,Entire home/apt,
The Green Loft in Amsterdam,52.367088,4.863511,Private room,156.0
Spacious house garden walk through park to centre,52.35936,4.86001,Entire home/apt,384.0
Spacious family house,52.355133096636784,4.879653035660964,Entire home/apt,360.0
Leidse Square 5 star Luxury-apartment,52.36442,4.88121,Entire home/apt,589.0
"LAST MINUTE!Luxury 1918 Home: jacuzzi, near center",52.39238,4.92899,Entire home/apt,293.0
Houseboat in the center of Amsterdam.,52.38481,4.89244,Entire home/apt,256.0
"Residential  Home Vondelpark,van Gogh, Rijksmuseum",52.35749,4.87699,Entire home/apt,429.0
Unique Amsterdam citycenter houseboat with ZOOview,52.36893,4.9174,Entire home/apt,
Spacious family house close to the Vondelpark,52.36062,4.86901,Entire home/apt,407.0
BEAUTIFUL Roof Terrace apartment!!!,52.37537,4.86019,Private room,108.0
Great central apartment + garden in Pijp WITH CAT,52.35531,4.89116,Entire home/apt,
"B&B, from Dorothé",52.35433,4.89863,Private room,86.0
Mallees Houseboat Apartment,52.36518,4.86652,Entire home/apt,
Huge 2 floor apartment with garden!,52.37108,4.87389,Entire home/apt,500.0
Gorgeous apt w/balcony by Jordaan,52.37843,4.87515,Entire home/apt,
Big spacious house at the waterfront,52.34861,5.00784,Entire home/apt,338.0
Experience Excellent Hospitality!,52.35938,4.93618,Private room,
"Casa Vrolik, Amsterdam, Oosterparkbuurt BnB 2pp.",52.35719,4.92193,Private room,100.0
"Casa Vrolik, Amsterdam, Oosterparkbuurt Bnb 1pp",52.35719,4.92193,Private room,89.0
Woonboot in Amsterdam.,52.38251,4.96577,Private room,68.0
Ruim authentiek gezinsappartement,52.36055,4.8532,Entire home/apt,
PRIME SAIL location! apartment 120m2 near IJ river,52.38295,4.9152,Entire home/apt,
Modern & Light Houseboat near Vondelpark,52.36104,4.85778,Private room,
Your own apartment on wheels,52.39508,4.99186,Private room,76.0
"Private room in big, cozy and light apartment",52.37704,4.84606,Private room,
Stunning Apartment with Canal View,52.37057,4.90795,Entire home/apt,248.0
"Vintage, Stylish, Romantic close to city-center",52.38069,4.86826,Entire home/apt,
B&Bio quiet/sun-room/elevator/welcoming,52.37154,4.852,Private room,
Monumental river-house + backyard,52.35808,4.90687,Entire home/apt,622.0
Room with canal view in windmill area + free bikes,52.36462,4.92499,Private room,109.0
Family house in New-West Amsterdam.,52.34255,4.80578,Shared room,
Spacious house in Amsterdam,52.38277,4.80351,Entire home/apt,
"Quiet Gem, lovely B&B in the Heart of Amsterdam",52.38598,4.89164,Entire home/apt,188.0
Bright & stylish with roof terrace,52.36238895020279,4.862015320349852,Entire home/apt,
Modern apartment incl. private rooftop terrace,52.36381,4.93857,Entire home/apt,264.0
Cozy & clean bedroom with free use of bikes,52.37591,4.8479,Private room,110.0
bright modern apartment in Westerpark,52.38299,4.87374,Entire home/apt,
Cosy Apartment at Ams Eastside,52.36218,4.94416,Entire home/apt,195.0
"Cosy apartment Amsterdam, de pijp",52.35229,4.89105,Entire home/apt,220.0
Apartement with roof terrace,52.3776,4.85,Entire home/apt,196.0
Amazing Amsterdam Canalside Loft,52.37897,4.89025,Private room,
Great room with adjacent bathroom w,52.37993,4.86879,Private room,165.0
Bohemian apt with garden near RAI!,52.34903,4.89508,Entire home/apt,212.0
Large bright apt w. roofterrace,52.36876,4.86759,Entire home/apt,400.0
"Comfy, cosy garden apartment near Vondelpark",52.3603,4.86692,Entire home/apt,160.0
Spacious & sunny apartment with nice roof terrace,52.3744,4.85936,Entire home/apt,
Gezellig huis midden in De Jordaan,52.37638,4.88217,Entire home/apt,225.0
Unique Jordaan canal apartment with view & terrace,52.37081,4.88379,Entire home/apt,
Room quiet neighborhood nr centre Amsterdam,52.38399,4.83583,Private room,82.0
Special canal house Amsterdamcenter,52.37862,4.89181,Entire home/apt,
Great house with garden near Vondelpark and centre,52.36268,4.86834,Entire home/apt,
Modern Family House in OudZuid,52.34809,4.86082,Entire home/apt,
Entire home with lovely garden,52.34813,4.84794,Entire home/apt,162.0
Family house +  BIG garden in child friendly eara,52.34298,4.92477,Entire home/apt,174.0
Houseboat on Prinsengracht Jordaan,52.3798,4.88726,Entire home/apt,389.0
100% Legal studio w. kitchen/shower/WC,52.3825,4.85645,Private room,
SUPERB LOFT NEAR CENTER WITH GARDEN ❤️,52.3552,4.89161,Entire home/apt,379.0
"urban city apartment, Amsterdam",52.37633,4.89259,Entire home/apt,
Cozy 2 room grndfloor apartment - 45 sq metre,52.36333,4.93846,Entire home/apt,
Cosy Loft in Amsterdam City Centre,52.3649,4.88613,Entire home/apt,276.0
The perfect place to unwind,52.34933,4.91314,Entire home/apt,
Cosy and quiet room near RAI,52.34292,4.89445,Private room,111.0
Charming quite room with fast Wifi,52.34736,4.87546,Private room,79.0
2 floor penthouse in city center,52.36079,4.88298,Entire home/apt,475.0
"Big house near center, garage+bikes",52.37043,4.95328,Entire home/apt,
Fantastic Area - Stunning Garden & Appartment,52.35217,4.895,Entire home/apt,446.0
Canalhouse on prime location in city centre,52.36307,4.89709,Entire home/apt,
"Cozy 1 BD, centre of Amsterdam",52.37976,4.88293,Entire home/apt,
Exclusive Private Room Canalhouse I,52.3798,4.89058,Private room,139.0
Cosy appartment in 'de pijp',52.35131,4.88742,Entire home/apt,
BnBJaponica-Tiny apartment-private bathroom&toilet,52.35428,4.90005,Private room,127.0
spacious & beautiful FAMILY house,52.33917,4.89633,Entire home/apt,303.0
Amsterdam School Building,52.36281,4.86361,Entire home/apt,
"B&B Hutspot , 1",52.39718,4.91789,Private room,94.0
Spacious appt perfect for family's (max 4 adults),52.35449,4.93799,Entire home/apt,
Room in the heart of Amsterdam,52.36633,4.88018,Private room,
Unique apartment in Amsterdam,52.35345,4.89037,Entire home/apt,553.0
"Houseboat in nature, 15 minutes from C. Station.",52.38772,4.93933,Entire home/apt,150.0
Beautiful Stylish Apartment on Canal Citycentre,52.37518,4.89041,Entire home/apt,220.0
Two bedroom apt 80m2Amsterdam West,52.37381,4.85761,Entire home/apt,
Canal view house in City Center,52.36474,4.87517,Entire home/apt,270.0
Spacious 3 bedroom apartement.,52.37346,4.83449,Entire home/apt,400.0
Rembrandt van Rijn apartment canal view,52.3643,4.88867,Entire home/apt,473.0
Parkview Apartment with sunny balcony,52.37272,4.84985,Entire home/apt,
Lovely apartment close to the centre,52.39032,4.88113,Entire home/apt,
B&B room green and bright!,52.38278,4.85254,Private room,84.0
Bright and happy family home,52.35817,4.91958,Entire home/apt,
