name,latitude,longitude,room_type,price
Nice view over Tagus River @ Lisboa,38.71156,-9.21046,Private room,1421.0
Lavanda House Air Cond & Fireplace & Garden,39.23805,-9.12181,Entire home/apt,108.0
Loft - Downtown / Castle - historic,38.71147,-9.13382,Entire home/apt,80.0
Central Elegant Spacious Apartment in Baixa 107,38.71296,-9.1363,Entire home/apt,244.0
Central Artistic Apartment in Baixa 107,38.7129,-9.13817,Entire home/apt,206.0
Chalet with swimming pool in Sintra,38.805931091308594,-9.472200393676758,Entire home/apt,135.0
Luxury apartment in Monte Estoril,38.7096,-9.4084,Entire home/apt,255.0
Guest House Graça Castle. By Alfama,38.71359,-9.12974,Entire home/apt,110.0
Charming room for Lisbon lovers,38.71441,-9.14908,Private room,100.0
Your home in Bairro Alto,38.7116263,-9.1461882,Entire home/apt,119.0
"Lv Premier Baixa CN1- AC, elevator, central, view",38.70984,-9.13632,Entire home/apt,401.0
"Sao Vicente I, Eco-flat with best view in Lisbon",38.7143,-9.13059,Entire home/apt,73.0
"Alfama I, eco-penthouse with view & french balcony",38.71189,-9.12867,Entire home/apt,76.0
"A Casa e o Mundo, peaceful to stay",38.69601,-9.42239,Private room,60.0
"Quarto charme Algés, entre a praia e a cidade.",38.7056,-9.23021,Private room,45.0
"CASTELO, ALFAMA - CASA MENINO DEUS    ( 53816/AL )",38.71284,-9.13085,Entire home/apt,89.0
GreatStay Fanqueiros 5 Room 210 (Private Bathroom),38.71135,-9.13616,Private room,125.0
"Excellent family home, come visit!",38.76656,-9.36203,Private room,
Bright & cozy apartment in Alfama,38.71259,-9.12912,Entire home/apt,65.0
Charming Apartment Mouraria Castelo,38.71376,-9.1364,Entire home/apt,106.0
TRV2- Quiet and Warm Historic Alfama with A/C,38.71252,-9.1245,Entire home/apt,183.0
TRV3 - glamour in Lisbon's historic center,38.71275,-9.12475,Entire home/apt,250.0
"Alfama Lisbon-""Windows to the Sun""",38.71214,-9.12936,Entire home/apt,90.0
The Flat with The View,38.72068,-9.13157,Entire home/apt,185.0
CENTRAL 2 BED APT - Very cozy and typical!,38.73067,-9.13103,Entire home/apt,66.0
Renovated! Amazing Terraces in Alfama,38.7144,-9.12395,Entire home/apt,231.0
Among the gorse and the breeze,38.84932,-9.45326,Entire home/apt,45.0
"Santa Catarina, Lisbon Details",38.71133,-9.14796,Entire home/apt,167.0
Bairro Alto apartment,38.71304,-9.14684,Entire home/apt,95.0
"Nice room, nice family, nice view",38.75377,-9.14852,Private room,
Central Duplex Apartment with Rooftop in Baixa 107,38.71091,-9.13784,Entire home/apt,224.0
BAIRRO ALTO Ap (Free Pocket Wi-Fi),38.71286453378754,-9.14623217416979,Entire home/apt,80.0
Look this very nice double room,39.13224,-9.23682,Private room,
Tranquilidade em Lisboa / Lisbon Tranquility,38.70846,-9.19649,Private room,70.0
Lisbon Tejo Apartment Best Location and River View,38.7074,-9.14209,Entire home/apt,308.0
Casa do Jardim - a lovely corner!!!,38.89015,-9.31153,Entire home/apt,64.0
ALMIRANTE77 now with double glazing,38.72735,-9.13494,Entire home/apt,279.0
Central Inviting Spacious Apartment in Baixa 107,38.71127,-9.13762,Entire home/apt,260.0
Castelo Patio Apartment 6-8 persons,38.7144889831543,-9.134299278259276,Entire home/apt,276.0
Studio Santa Catarina (68m2),38.71052,-9.14874,Entire home/apt,
B1 Luminous & Spacious Gem | Central Location BICA,38.71033,-9.14651,Entire home/apt,146.0
Tram 28: Perfect View over Alfama!,38.71046,-9.13134,Entire home/apt,189.0
Clara's cosy corner,38.71656,-9.13428,Entire home/apt,95.0
Spacious with amazing seafront view @ ocean side,38.69392,-9.37232,Entire home/apt,
